Description,Price,Stars,Reviews,Url
Premium 2-in-1 Window & Car Windshield Wiper -...,Rs. 59.00,4.70,10 reviews,https://deodap.in/products/premium-2-in-1-window-car-windshield-wiper-1-pc
Electric Hot Water Bag (Loose Packing) (Without Water/Gel),Rs. 75.00,4.52,21 reviews,https://deodap.in/products/electric-hot-water-bag-loose-packing-without-water-gel
USB LED Light Lamp,Rs. 17.00,4.37,30 reviews,https://deodap.in/products/0315-usb-led-light-lamp
Beauty Face Massage Ice Roller (1 Pc),Rs. 15.00,5.00,33 reviews,https://deodap.in/products/13630-face-massage-ice-roller-1pc
Multifunctional Household Mini Portable Super Sealer Hand...,Rs. 52.00,4.30,23 reviews,https://deodap.in/products/7675a-multifunctional-household-mini-portable-super-sealer-handy-plastic-bag-sealer-sealing-machine
"Simple Candles for Home Decoration, Crystal Candle Lights...",Rs. 22.00,4.57,7 reviews,https://deodap.in/products/simple-candles-for-home-decoration-crystal-candle-lights
Clothes Stain Remover Bead Design Emergency Stain Rescue...,Rs. 43.00,4.22,23 reviews,https://deodap.in/products/7933_cloth_stain_remover_50ml-1
"3 Meter Anti-Slip Clothesline Rope - Nylon, Hooks,...",Rs. 24.00,3.97,36 reviews,https://deodap.in/products/fiber-rope-clothesline-with-hooks
Flexible Spiral Cable Protector Sleeve (1 Pc),Rs. 17.00,4.78,50 reviews,https://deodap.in/products/flexible-spiral-cable-protector-sleeve-1-pc
Reusable Waterproof Household Cleaning Gloves (45gm / 1...,Rs. 29.00,4.73,15 reviews,https://deodap.in/products/reusable-waterproof-household-cleaning-gloves-45gm-1-pair
Car Dashboard Scratch Remover Tissue (80 Pcs Set),Rs. 52.00,4.31,35 reviews,https://deodap.in/products/15349_car_cleaning_wipes_80pc
4 LED Battery-Powered Wireless Night Light Stick Tap...,Rs. 34.00,4.50,12 reviews,https://deodap.in/products/1716-4-led-battery-powered-wireless-night-light-stick-tap-touch-lamp-stick-on-push-light-for-closets-cabinets-counters-or-utility-rooms-cordless-touch-light
Projective Camera Keychain (1 Pc / Mix design),Rs. 39.00,4.60,10 reviews,https://deodap.in/products/projective-camera-keychain-1-pc-mix-design
Adhesive Golden &  Transparent Heavy Duty Wall Hook,Rs. 30.00,4.28,25 reviews,https://deodap.in/products/4654-adhesive-4654-adhesive-transparent-heavy-duty-wall-hook
Paint Scraper Window Glass Filling Putty Knife (152...,Rs. 41.00,4.85,39 reviews,https://deodap.in/products/paint-scraper-putty-knife-windows-150mm
Mini Acrylic LED Desk Lamps Table Lamp Portable...,Rs. 46.00,4.50,32 reviews,https://deodap.in/products/6958_mini_led_desk_lamp_1pc
Universal Mini Tripod,Rs. 52.00,4.18,28 reviews,https://deodap.in/products/272-universal-mini-tripod
Type-C OTG Adapter,Rs. 15.00,4.69,39 reviews,https://deodap.in/products/1370-type-c-otg-adapter
Velvet Air Inflatable Travel Pillow (Blue),Rs. 56.00,4.49,45 reviews,https://deodap.in/products/510-velvet-air-inflatable-travel-pillow-blue
Unique Type C Dash Charging USB Data Cable...,Rs. 55.00,4.50,34 reviews,https://deodap.in/products/type-c-dash-charging-usb-cable-fast-charging-data-transfer
